2021-03-19 10:20:16,433 - INFO -  
2021-03-19 10:20:16,433 - INFO - ********* Starting HUMAN-MACHINE-INTERFACE for SM-13 **********
2021-03-19 10:20:16,555 - INFO - Fixture harness stall function is enabled
2021-03-19 10:20:17,351 - INFO - Stopping movement TOTAL
2021-03-19 10:20:17,351 - ERROR - Attempting to connect to NFC
2021-03-19 10:20:18,320 - INFO - HMI connected to NFC successfully
2021-03-19 10:20:27,115 - INFO - Changing RTU IP/PORT parameters:
2021-03-19 10:20:27,116 - INFO - Previous IP: 192.168.1.20, Previous Port: 5020
2021-03-19 10:20:27,116 - INFO - Current  IP: 192.168.1.21, Current Port : 5020
2021-03-19 10:20:30,184 - INFO - Changing RTU IP/PORT parameters:
2021-03-19 10:20:30,184 - INFO - Previous IP: 192.168.1.21, Previous Port: 5020
2021-03-19 10:20:30,184 - INFO - Current  IP: 192.168.1.20, Current Port : 5020
2021-03-19 10:20:38,350 - INFO - System files loaded:
2021-03-19 10:20:38,350 - INFO - HX file        : /home/gspc/Proyectos/SM-13/hmi/cfg_files/Heat_exchangers/_cne_purificador_3335_HX2/tubesheet.csv
2021-03-19 10:20:38,350 - INFO - Inspection Plan: /home/gspc/Proyectos/SM-13/hmi/cfg_files/Heat_exchangers/_cne_purificador_3335_HX2/InspPlan3_M_2.csv
2021-03-19 10:20:38,350 - INFO - Fixture Model  : /home/gspc/Proyectos/SM-13/hmi/cfg_files/Robots/Zetec/SM-13.csv
2021-03-19 10:20:44,020 - INFO - Starting SM-13 simulator
2021-03-19 10:20:48,794 - INFO - Fixture harness main control is enabled
2021-03-19 10:20:50,176 - INFO - Fixture harness stall function is disabled
2021-03-19 10:20:52,303 - INFO - Fixture alternative pivot type selected
2021-03-19 10:20:57,168 - INFO - Moving to tube ROW : 1, COL : 1
2021-03-19 10:20:59,189 - INFO - Moving to tube ROW : 1, COL : 3
2021-03-19 10:20:59,894 - INFO - Moving to tube ROW : 1, COL : 5
2021-03-19 10:21:00,342 - INFO - Moving to tube ROW : 1, COL : 7
2021-03-19 10:21:00,628 - INFO - Moving to tube ROW : 1, COL : 9
2021-03-19 10:21:00,901 - INFO - Moving to tube ROW : 1, COL : 11
2021-03-19 10:21:01,345 - INFO - Moving to tube ROW : 1, COL : 13
2021-03-19 10:21:01,622 - INFO - Moving to tube ROW : 1, COL : 15
2021-03-19 10:21:01,903 - INFO - Moving to tube ROW : 1, COL : 17
2021-03-19 10:21:02,172 - INFO - Moving to tube ROW : 1, COL : 19
2021-03-19 10:21:02,611 - INFO - Moving to tube ROW : 1, COL : 20
2021-03-19 10:21:02,893 - INFO - Moving to tube ROW : 2, COL : 21
